[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /root/login               --> Web/controller.Login (5 handlers)
[GIN-debug] POST   /root/addUser             --> Web/controller.AddUser (5 handlers)
[GIN-debug] POST   /root/active              --> Web/controller.Active (5 handlers)
[GIN-debug] GET    /video/getVideos          --> Web/controller.GetVideos (5 handlers)
[GIN-debug] POST   /video/addVideo           --> Web/controller.AddVideos (5 handlers)
[GIN-debug] GET    /video/getVideo/:id       --> Web/controller.GetVideo (5 handlers)
[GIN-debug] GET    /ws/action                --> Web/controller.GetWsHandler (5 handlers)
[GIN-debug] GET    /ws/msg                   --> Web/controller.GetUserMsgList (5 handlers)
[GIN-debug] GET    /ws/user                  --> Web/controller.GetUserAction (5 handlers)
[GIN-debug] GET    /ws/addUser               --> Web/controller.SetMyToYou (5 handlers)
[GIN-debug] GET    /ws/updateMsg             --> Web/controller.SetUpdateMsg (5 handlers)
[GIN-debug] GET    /ws/isUser                --> Web/controller.SetYouDB (5 handlers)
[GIN-debug] GET    /ws/getUserList           --> Web/controller.GetUserList (5 handlers)
[GIN-debug] GET    /images/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (5 handlers)
[GIN-debug] HEAD   /images/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (5 handlers)
[GIN-debug] GET    /videos/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (5 handlers)
[GIN-debug] HEAD   /videos/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 192.168.1.10:12345
[GIN] 2022/08/18 - 16:57:20 | 200 |     1.64015ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 16:57:20 | 200 |     573.439µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 16:57:20 | 200 |     496.512µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 16:57:26 | 200 |    2.032141ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 16:57:26 | 200 |     550.532µs |    192.168.1.19 | GET      "/ws/getUserList?uid=12"
[GIN] 2022/08/18 - 16:57:26 | 200 |     504.127µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=12"
[GIN] 2022/08/18 - 16:57:33 | 200 |     925.084µs |    192.168.1.19 | GET      "/ws/msg?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:33 | 200 |     146.831µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:33 | 200 |     178.592µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:37 | 200 |     207.108µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:37 | 200 |     793.566µs |    192.168.1.19 | GET      "/ws/msg?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:37 | 200 |     248.895µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:39 | 200 |     294.671µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:39 | 200 |     195.578µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:39 | 200 |     186.585µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:39 | 200 |     215.684µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:39 | 200 |     188.186µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:41 | 200 |     227.512µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:41 | 200 |     153.987µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:45 | 200 |     193.069µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:45 | 200 |     188.184µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:45 | 200 |     159.325µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:45 | 200 |     183.853µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:45 | 200 |     187.658µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:48 | 200 |     137.289µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:48 | 200 |     135.051µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:50 | 200 |     186.969µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:50 | 200 |     205.576µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:51 | 200 |     229.769µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:51 | 200 |     182.726µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:51 | 200 |     192.438µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:51 | 200 |     210.352µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:52 | 200 |     174.868µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:57:52 | 200 |     168.887µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |      130.99µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     149.183µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     166.378µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     179.018µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:55 | 200 |     172.429µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:58 | 200 |     177.542µs |    192.168.1.19 | GET      "/ws/action?uid=12&to_uid=15"
[GIN] 2022/08/18 - 16:57:58 | 200 |      154.63µs |    192.168.1.19 | GET      "/ws/action?uid=15&to_uid=12"
[GIN] 2022/08/18 - 16:58:06 | 200 |    1.555104ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 16:58:06 | 200 |     485.894µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
